,cat,crab,seagull,squirrel,rubber duck,dishware,plate of food,bath towel,garden fence,grocery shelves,shopping cart,tree
cat,1.0,0.7816429963442475,0.7608573059762086,0.8237188539689144,0.7228956658660473,0.727399252960575,0.7575084055020174,0.6909744383098466,0.6875361801901363,0.7550337220286195,0.7426794670664697,0.7799082720265523
crab,0.7816429963442475,1.0,0.7758714465139999,0.7862975508021292,0.7515654276787175,0.7743357688675834,0.7576955139878878,0.6662095050144615,0.6582846728339252,0.7308829669174506,0.7491231612668139,0.7581505503138152
seagull,0.7608573059762086,0.7758714465139999,1.0,0.8035006666821601,0.7583343128823703,0.71331897285024,0.6949318936823028,0.6759168046013355,0.6223170037680006,0.695801280383305,0.6978022878739303,0.731923140600486
squirrel,0.8237188539689144,0.7862975508021292,0.8035006666821601,1.0,0.7682958777638084,0.7565228351595866,0.7558294011971314,0.6988145979473486,0.6870047746288763,0.75680142890707,0.7376249046039,0.8208516490570341
rubber duck,0.7228956658660473,0.7515654276787175,0.7583343128823703,0.7682958777638084,1.0,0.7663610981794017,0.7253324591133973,0.6915590361503321,0.6424514955910288,0.7069100711259562,0.689401909448419,0.7331173152742797
dishware,0.727399252960575,0.7743357688675834,0.71331897285024,0.7565228351595866,0.7663610981794017,1.0,0.8591429676396891,0.732600320665937,0.7085563128443702,0.8093947618342635,0.7760346281206977,0.7536329288576626
plate of food,0.7575084055020174,0.7576955139878878,0.6949318936823028,0.7558294011971314,0.7253324591133973,0.8591429676396891,1.0,0.7183326271153432,0.7158872630170368,0.7813214510790446,0.7475315968226393,0.7692478227700287
bath towel,0.6909744383098466,0.6662095050144615,0.6759168046013355,0.6988145979473486,0.6915590361503321,0.732600320665937,0.7183326271153432,1.0,0.6718283532129429,0.7098595537950356,0.7333914070230334,0.7055901635994505
garden fence,0.6875361801901363,0.6582846728339252,0.6223170037680006,0.6870047746288763,0.6424514955910288,0.7085563128443702,0.7158872630170368,0.6718283532129429,1.0,0.7288916734600475,0.7333424040902389,0.7197168429075903
grocery shelves,0.7550337220286195,0.7308829669174506,0.695801280383305,0.75680142890707,0.7069100711259562,0.8093947618342635,0.7813214510790446,0.7098595537950356,0.7288916734600475,1.0,0.8402675910485298,0.7440242044939795
shopping cart,0.7426794670664697,0.7491231612668139,0.6978022878739303,0.7376249046039,0.689401909448419,0.7760346281206977,0.7475315968226393,0.7333914070230334,0.7333424040902389,0.8402675910485298,1.0,0.7544269039880692
tree,0.7799082720265523,0.7581505503138152,0.731923140600486,0.8208516490570341,0.7331173152742797,0.7536329288576626,0.7692478227700287,0.7055901635994505,0.7197168429075903,0.7440242044939795,0.7544269039880692,1.0
